"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Description","GeneSymbol","Synonym"
"Os08g0372900",45.7138057512972,1.83208078539459,0.389258238296432,4.70659476190559,2.51888923102929e-06,9.5501941051588e-06,"","Os08g0372900",""
"Os08g0375400",10.0705666195795,1.99758139976649,0.876511022630466,2.27901457961318,0.0226661986370704,0.0432000310485149,"","Os08g0375400",""
"Os08g0375800",127.493726885786,1.30312632276345,0.216388698880915,6.02215517493638,1.72109765158855e-09,9.34143187588378e-09,"","OJ1705_C03.103",""
"Os08g0378900",1396.37308602223,2.51357014796905,0.200782009257339,12.5189012564738,5.8844076771747e-36,1.54774914031165e-34,"","OsTRXz",""
"Os08g0384100",3331.97541370954,1.05004832747695,0.186820367145636,5.62063089544401,1.90261373738107e-08,9.25786735488822e-08,"","DRB4",""
"Os08g0387050",57.6762369262622,5.56659339422799,0.667428311634717,8.34036149978992,7.40637638267922e-17,7.37275161244046e-16,"","Os08g0387050",""
"Os08g0389700",1257.06653505041,1.04218055767202,0.239258675030845,4.35587364820801,1.32537217268793e-05,4.55840454229441e-05,"","P0473F05.27-3","P0671F11.4-3"
"Os08g0390200",194.921234928551,2.21182406835191,0.219315264557457,10.0851350808391,6.42767145126428e-24,9.53072504775434e-23,"","Os08g0390200",""
"Os08g0398300",124.546278879902,1.68597955138918,0.216713639046485,7.77975746615348,7.26637191964142e-15,6.22541137804134e-14,"","OsABCA4",""
"Os08g0398700",1805.05145362292,1.03382511654496,0.18849879187264,5.48451852807348,4.14597033001999e-08,1.94628091828165e-07,"","Os08g0398700",""
"Os08g0398800",516.862396469224,1.41684925607912,0.150843155027536,9.39286410325001,5.83904529464501e-21,7.4420794889619e-20,"","Os08g0398800",""
"Os08g0399600",164.179734017204,1.57133465963716,0.265168769635429,5.92579081540235,3.10798021215373e-09,1.64122816957657e-08,"","Os08g0399600",""
"Os08g0405700",25.478957237321,3.2587299955998,0.508587419085715,6.40741369784178,1.48008815688082e-10,8.90965604058213e-10,"","Os08g0405700",""
"Os08g0408500",5766.33616364556,2.06588834265962,0.140339442884535,14.7206537249784,4.75045772470168e-49,1.9983377087425e-47,"","OsERF#048",""
"Os08g0410266",42.8410984274444,1.21680010678774,0.318998854170098,3.81443409868461,0.000136495354261569,0.000405752296645338,"","OsFbox444",""
"Os08g0412200",2981.04587942496,1.16992310221799,0.118514488003075,9.87156188184887,5.52967823977602e-23,7.82013914080654e-22,"","Os08g0412200",""
"Os08g0412700",39.1592792717459,3.06140592846978,0.600019574628589,5.10217675875788,3.35768921200833e-07,1.42041088622043e-06,"","Os08g0412700",""
"Os08g0412800",75.3260154632285,8.66242618228048,1.10266449612454,7.85590377918737,3.96899688319966e-15,3.46511049242558e-14,"","Os08g0412800",""
"Os08g0414600",151.136582112001,2.0628085433198,0.248908808105566,8.28740677768592,1.15744253409386e-16,1.13441272417894e-15,"","Os08g0414600",""
"Os08g0414700",88.7446471010999,5.15694551090718,0.498839056385746,10.3378944469003,4.74855982828452e-25,7.54199146573112e-24,"","Os08g0414700",""
