"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order"
"query_1",TRUE,0.0362870120880956,60,4306,28,0.00650255457501161,0.466666666666667,"GO:0006778","GO:BP","porphyrin-containing compound metabolic process",15896,2336
"query_1",TRUE,0.0362870120880956,103,4306,43,0.00998606595448212,0.41747572815534,"GO:0009409","GO:BP","response to cold",15896,3318
"query_1",TRUE,0.036612403448094,115,4306,47,0.0109150023223409,0.408695652173913,"GO:2000026","GO:BP","regulation of multicellular organismal development",15896,23538
"query_1",TRUE,0.0373660257059241,36,4306,19,0.00441244774732931,0.527777777777778,"GO:0009751","GO:BP","response to salicylic acid",15896,3488
"query_1",TRUE,0.0374823397458024,26,4306,15,0.00348351137947051,0.576923076923077,"GO:0007178","GO:BP","cell surface receptor protein serine/threonine kinase signaling pathway",15896,2605
"query_1",TRUE,0.0374823397458024,26,4306,15,0.00348351137947051,0.576923076923077,"GO:0007167","GO:BP","enzyme-linked receptor protein signaling pathway",15896,2597
"query_1",TRUE,0.0376879228192622,31,4306,17,0.00394797956339991,0.548387096774194,"GO:0019252","GO:BP","starch biosynthetic process",15896,5298
"query_1",TRUE,0.0389005748868563,1669,4306,506,0.117510450534138,0.303175554224086,"GO:0016310","GO:BP","phosphorylation",15896,4946
"query_1",TRUE,0.0422819761245626,119,4306,48,0.0111472364143056,0.403361344537815,"GO:0019318","GO:BP","hexose metabolic process",15896,5347
"query_1",TRUE,0.0454629143526423,24,4306,14,0.00325127728750581,0.583333333333333,"GO:0010119","GO:BP","regulation of stomatal movement",15896,3764
"query_1",TRUE,0.0463923252920365,17,4306,11,0.0025545750116117,0.647058823529412,"GO:0016106","GO:BP","sesquiterpenoid biosynthetic process",15896,4880
"query_1",TRUE,0.0463923252920365,84,4306,36,0.00836042731072922,0.428571428571429,"GO:0009063","GO:BP","amino acid catabolic process",15896,3099
"query_1",TRUE,2.95671163442585e-28,1060,4362,443,0.101558917927556,0.417924528301887,"GO:0009507","GO:CC","chloroplast",16760,569
"query_1",TRUE,6.60306153746074e-26,1134,4362,459,0.105226960110041,0.404761904761905,"GO:0009536","GO:CC","plastid",16760,597
"query_1",TRUE,5.10686135281608e-16,350,4362,166,0.0380559376432829,0.474285714285714,"GO:0009526","GO:CC","plastid envelope",16760,587
"query_1",TRUE,6.08303012481136e-16,299,4362,147,0.0337001375515818,0.491638795986622,"GO:0042170","GO:CC","plastid membrane",16760,1741
"query_1",TRUE,3.13532341933113e-15,234,4362,121,0.0277395690050436,0.517094017094017,"GO:0009579","GO:CC","thylakoid",16760,621
"query_1",TRUE,1.80558240965166e-14,1582,4362,551,0.126318202659331,0.348293299620733,"GO:0005886","GO:CC","plasma membrane",16760,409
"query_1",TRUE,1.94530083122066e-13,197,4362,103,0.0236130215497478,0.522842639593909,"GO:0034357","GO:CC","photosynthetic membrane",16760,1435
"query_1",TRUE,6.78868010256052e-13,1757,4362,594,0.136176066024759,0.338076266363119,"GO:0071944","GO:CC","cell periphery",16760,2724
"query_1",TRUE,3.20505500614856e-12,178,4362,93,0.0213204951856946,0.52247191011236,"GO:0031976","GO:CC","plastid thylakoid",16760,1194
"query_1",TRUE,3.20505500614856e-12,178,4362,93,0.0213204951856946,0.52247191011236,"GO:0009534","GO:CC","chloroplast thylakoid",16760,595
"query_1",TRUE,5.32579852946493e-12,182,4362,94,0.0215497478221,0.516483516483517,"GO:0042651","GO:CC","thylakoid membrane",16760,1788
"query_1",TRUE,1.13143209389315e-11,252,4362,119,0.0272810637322329,0.472222222222222,"GO:0031968","GO:CC","organelle outer membrane",16760,1188
"query_1",TRUE,1.47183443349688e-11,253,4362,119,0.0272810637322329,0.470355731225296,"GO:0019867","GO:CC","outer membrane",16760,801
"query_1",TRUE,1.48354094328834e-10,151,4362,79,0.0181109582760202,0.52317880794702,"GO:0009535","GO:CC","chloroplast thylakoid membrane",16760,596
"query_1",TRUE,1.48354094328834e-10,151,4362,79,0.0181109582760202,0.52317880794702,"GO:0055035","GO:CC","plastid thylakoid membrane",16760,2188
"query_1",TRUE,1.1651000820468e-07,188,4362,86,0.0197157267308574,0.457446808510638,"GO:0009941","GO:CC","chloroplast envelope",16760,640
"query_1",TRUE,1.26047830895648e-07,86,4362,48,0.0110041265474553,0.558139534883721,"GO:0009521","GO:CC","photosystem",16760,582
"query_1",TRUE,2.51544996448071e-07,146,4362,70,0.0160476845483723,0.47945205479452,"GO:0009532","GO:CC","plastid stroma",16760,593
"query_1",TRUE,2.51544996448071e-07,146,4362,70,0.0160476845483723,0.47945205479452,"GO:0031969","GO:CC","chloroplast membrane",16760,1189
"query_1",TRUE,7.11208658859908e-07,29,4362,22,0.00504355800091701,0.758620689655172,"GO:0009522","GO:CC","photosystem I",16760,583
"query_1",TRUE,1.77910030693136e-06,138,4362,65,0.0149014213663457,0.471014492753623,"GO:0009570","GO:CC","chloroplast stroma",16760,613
"query_1",TRUE,2.23045673778434e-06,72,4362,40,0.00917010545621275,0.555555555555556,"GO:0009523","GO:CC","photosystem II",16760,584
"query_1",TRUE,9.12462349409244e-05,8015,4362,2213,0.50733608436497,0.276107298814722,"GO:0016020","GO:CC","membrane",16760,699
"query_1",TRUE,0.000452082052058804,55,4362,29,0.00664832645575424,0.527272727272727,"GO:0009707","GO:CC","chloroplast outer membrane",16760,627
"query_1",TRUE,0.00231364047070795,59,4362,29,0.00664832645575424,0.491525423728814,"GO:0009527","GO:CC","plastid outer membrane",16760,588
"query_1",TRUE,0.00397306806218359,29,4362,17,0.00389729481889042,0.586206896551724,"GO:0009654","GO:CC","photosystem II oxygen evolving complex",16760,622
"query_1",TRUE,0.0214582309170526,5,4362,5,0.00114626318202659,1,"GO:0009538","GO:CC","photosystem I reaction center",16760,599
"query_1",TRUE,0.0214582309170526,711,4362,221,0.0506648326455754,0.310829817158931,"GO:0031967","GO:CC","organelle envelope",16760,1187
"query_1",TRUE,0.0237445669401638,20,4362,12,0.00275103163686382,0.6,"GO:0009501","GO:CC","amyloplast",16760,564
"query_1",TRUE,2.83902712525589e-07,1291,5004,458,0.0915267785771383,0.354763749031758,"GO:0022857","GO:MF","transmembrane transporter activity",18049,3516
"query_1",TRUE,5.59033397283355e-07,1653,5004,566,0.113109512390088,0.342407743496673,"GO:0016491","GO:MF","oxidoreductase activity",18049,2729
"query_1",TRUE,6.23789359938861e-07,1326,5004,464,0.0927258193445244,0.349924585218703,"GO:0005215","GO:MF","transporter activity",18049,1319
"query_1",TRUE,0.000289879902239878,23,5004,18,0.00359712230215827,0.782608695652174,"GO:0016597","GO:MF","amino acid binding",18049,2758
"query_1",TRUE,0.00123176822742946,287,5004,115,0.0229816147082334,0.400696864111498,"GO:0015291","GO:MF","secondary active transmembrane transporter activity",18049,2388
"query_1",TRUE,0.00162837082804981,9681,5004,2816,0.562749800159872,0.290879041421341,"GO:0003824","GO:MF","catalytic activity",18049,356
"query_1",TRUE,0.00433404057528521,33,5004,21,0.00419664268585132,0.636363636363636,"GO:0046910","GO:MF","pectinesterase inhibitor activity",18049,5635
"query_1",TRUE,0.00545699297049167,193,5004,80,0.0159872102318145,0.414507772020725,"GO:0046873","GO:MF","metal ion transmembrane transporter activity",18049,5628
"query_1",TRUE,0.0195362930574759,16,5004,12,0.00239808153477218,0.75,"GO:0017022","GO:MF","myosin binding",18049,3020
"query_1",TRUE,0.0195362930574759,7,5004,7,0.00139888089528377,1,"GO:0004784","GO:MF","superoxide dismutase activity",18049,1026
"query_1",TRUE,0.0195362930574759,7,5004,7,0.00139888089528377,1,"GO:0016721","GO:MF","oxidoreductase activity, acting on superoxide radicals as acceptor",18049,2842
"query_1",TRUE,0.0198032009267882,744,5004,251,0.0501598721023181,0.337365591397849,"GO:0043565","GO:MF","sequence-specific DNA binding",18049,5209
"query_1",TRUE,0.0208364089015519,325,5004,120,0.0239808153477218,0.369230769230769,"GO:0005509","GO:MF","calcium ion binding",18049,1454
"query_1",TRUE,0.0208364089015519,202,5004,80,0.0159872102318145,0.396039603960396,"GO:0016616","GO:MF","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",18049,2763
"query_1",TRUE,0.0327869344367903,38,5004,21,0.00419664268585132,0.552631578947368,"GO:0016207","GO:MF","4-coumarate-CoA ligase activity",18049,2649
