"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os11g0547000",3142.11594541379,6.25186155999007,0.209978371864654,29.7738357739998,8.52410921904378e-195,9.60008427819308e-192
"Os03g0731900",36858.9399211196,-3.39134290879162,0.114107983181672,-29.7204701566958,4.17693848272912e-194,4.4996523820252e-191
"Os03g0316200",8335.50132270717,4.37028213500441,0.148990232915894,29.3326753671932,3.97493400461402e-189,4.1036224930134e-186
"Os11g0208900",3297.73618461849,-4.35961510484949,0.151210547371079,-28.8314220181398,8.66392304142117e-183,8.5866408478917e-180
"Os03g0826800",21871.1846406254,9.37647864557889,0.326162572214308,28.7478682238806,9.63075744122837e-182,9.1777414277429e-179
"Os03g0583800",12261.8358224282,-3.72839379551864,0.130195988383476,-28.6367793801535,2.34210746111546e-180,2.14927394681696e-177
"Os05g0542500",10583.6405896724,10.4749707844538,0.365894626195002,28.6283810543619,2.9796608573255e-180,2.6366806093555e-177
"Os08g0416800",1439.71412397456,-3.78588687152084,0.132316054891058,-28.6124527717965,4.70317945856242e-180,4.01829922223452e-177
"Os01g0702000",5809.30732488468,5.60464263633663,0.197083679412277,28.4378831014837,6.88126603856779e-178,5.68323762125314e-175
"Os04g0675400",2670.2890048443,8.55866864909476,0.302581761323002,28.2854743513721,5.21511407293014e-176,4.16822198016097e-173
"Os09g0109600",1470.65160550083,7.35296102583681,0.260910072913557,28.1819745160738,9.72615243438915e-175,7.53077746458937e-172
"Os11g0707000",939184.160386682,-5.85985237522412,0.20804498949574,-28.166274945757,1.51453851575616e-174,1.13714305469365e-171
"Os05g0170950",3985.97144105015,-5.00783513281345,0.177815975845136,-28.1630213990159,1.66007206013799e-174,1.20975310100115e-171
"Os09g0315000",2990.46825548526,-4.04649353943353,0.144809322698529,-27.9435982713468,7.8855955424706e-172,5.58232573587983e-169
"Os12g0147200",2320.38429609972,6.60269097744667,0.238765968532486,27.6534005998779,2.54001441806912e-168,1.74816492323607e-165
"Os04g0403500",3506.20631150696,-5.87889006155853,0.213688257221543,-27.5115260800857,1.27810503448593e-166,8.5588130917454e-164
"Os03g0305000",971.437770509622,-5.60531238035747,0.204935781191977,-27.3515554372938,1.03485964779668e-164,6.74755723512061e-162
"Os04g0266900",818.579672969243,4.56562437813246,0.167346786406662,27.2824144171956,6.85867545961377e-164,4.35736927853462e-161
"Os01g0170051",3044.84423715348,6.56385761511264,0.241427346587242,27.1877138522115,9.07545081721119e-163,5.62156112245104e-160
"Os11g0533400",1929.59264499592,6.97127678859658,0.256704308829283,27.1568358957025,2.10253887881064e-162,1.27060014147052e-159
"Os03g0765400",5812.98976945474,7.52275524354782,0.280884490050329,26.78238033791,5.1839718974775e-158,3.05817313580476e-155
"Os03g0826900",12214.1676118097,8.86646334612785,0.334383145173954,26.5158799840683,6.35849256654842e-155,3.66382256561326e-152
"Os03g0844900",4405.97935907303,-3.30534243809179,0.125420492357158,-26.3540859708891,4.60778012573413e-153,2.59470382216624e-150
"Os11g0454000",2110.9725858526,8.83788424447228,0.33626818916768,26.2822488988552,3.06026937093674e-152,1.68498431563777e-149
"Os10g0567400",20992.6062888638,-2.88480595346526,0.10980598684851,-26.2718457914794,4.02393648758026e-152,2.16741465984296e-149
"Os07g0642600",1248.39233721661,-3.11058346409251,0.118900784554889,-26.1611685384342,7.35555659141672e-151,3.87763033330919e-148
"Os03g0277300",3330.40082212116,5.8227157432095,0.222880436416142,26.1248400121483,1.90406928068999e-150,9.82856761826162e-148
"Os03g0206700",965.024428456835,-6.28067481391514,0.240621204922434,-26.1019173931066,3.46757537308818e-150,1.75339010242869e-147
"Os03g0774300",2234.7808373903,-3.83302110837742,0.147373938130555,-26.0088123924722,3.9366030742074e-149,1.95074428739273e-146
