"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Description","GeneSymbol","Synonym"
"Os01g0223600",300.655596464876,-2.03821087087414,0.211384554593043,-9.642193937954,5.3042005961715e-22,7.13862999301147e-21,"","Os01g0223600",""
"Os01g0226600",544.002610999867,-2.43686129959979,0.210130593023155,-11.5968896510526,4.27328391993387e-31,9.25517095141622e-30,"","SLAC",""
"Os01g0227300",1346.02081833589,-1.07448663825374,0.158793399506925,-6.7665699052364,1.31871338332066e-11,8.69214192565469e-11,"","OsRab7B1",""
"Os01g0227350",1275.89683770447,-3.24541227057448,0.249162220933197,-13.0252983715561,8.78569804868184e-39,2.62268964520711e-37,"","Os01g0227350",""
"Os01g0227400",419.459171916671,-2.71201310210006,0.300666810440579,-9.01999491771654,1.88098027599812e-19,2.19214714479799e-18,"","Os01g0227400",""
"Os01g0227500",1210.06797577456,-1.624370976099,0.145488119488494,-11.1649733449711,6.05093478079395e-29,1.17587459657829e-27,"","Os01g0227500",""
"Os01g0227700",67.7171378091804,-1.37934418372252,0.401240444075817,-3.43769977351007,0.000586677778387591,0.00157300241479378,"","Os01g0227700",""
"Os01g0228400",104.601998991852,-2.26614172316885,0.264099699154382,-8.58062970319461,9.43551704144184e-18,9.95248215137525e-17,"","Os01g0228400",""
"Os01g0228600",2892.86778251389,-2.6609504880675,0.199025108837972,-13.3699235418271,9.06339649617778e-41,2.91641266215321e-39,"","OsHPR2-1",""
"Os01g0228800",207.048628986029,-1.90525220998164,0.217959812082823,-8.74130048000619,2.30442210013997e-18,2.53200294346643e-17,"","Os01g0228800",""
"Os01g0231000",711.083342708238,-1.08739650356476,0.193491111275958,-5.61987833133024,1.91091983641643e-08,9.29463305592658e-08,"","OsIAA3",""
"Os01g0232000",192.076883937525,-5.48375575253421,0.730027862838134,-7.5117074726641,5.83610857785916e-14,4.67662555736146e-13,"","OsTIP4",""
"Os01g0234001",14.2525643641628,-2.23380442624271,0.59127922981606,-3.77791796768782,0.000158144949100813,0.000465694961239702,"","Os01g0234001",""
"Os01g0234300",94.2170140369918,-2.09195227711274,0.25237491647822,-8.28906575306695,1.1414143628902e-16,1.11958921889669e-15,"","Os01g0234300",""
"Os01g0234700",57.6305835708006,-1.03360587845448,0.290101047633231,-3.56291673845055,0.000366757030792408,0.00101634481064126,"","Os01g0234700",""
"Os01g0234900",726.000871041794,-1.11416988433737,0.12248654355688,-9.0962635729856,9.34929191781016e-20,1.11208548174547e-18,"","OsRFPHC-14",""
"Os01g0235100",2114.20301934417,-4.52156790002508,0.175430275274019,-25.7741595227077,1.7282520954856e-146,8.23478887881669e-144,"","Os01g0235100",""
"Os01g0235900",14.5500849560789,-2.98170893059061,0.679798761228277,-4.38616411304307,1.15367091260808e-05,4.0084846727935e-05,"","OsGRL1",""
"Os01g0236700",5917.33773871533,-2.20608447296694,0.134041124344172,-16.4582659520407,7.31666136998474e-61,4.68436482594605e-59,"","NLP3",""
"Os01g0236800",1492.75493839231,-1.05645939921729,0.124712550713935,-8.47115541434635,2.42970803525289e-17,2.49589038098926e-16,"","OsBamy4",""
"Os01g0236900",20.9097891865857,-2.37740262265897,0.581630493187836,-4.08747933697348,4.36085503115799e-05,0.000139760580917089,"","Os01g0236900",""
"Os01g0238500",10094.5924015954,-3.17252555670664,0.524652754723316,-6.04690536387199,1.47654428093793e-09,8.05644960334707e-09,"","Os01g0238500",""
"Os01g0239000",9515.47352576022,-1.44396182656615,0.153883057479734,-9.3835010183387,6.38177032399683e-21,8.11710078632801e-20,"","GLK2",""
"Os01g0239200",2127.41153106894,-1.75152796402913,0.231668302828856,-7.56049896615793,4.01526076982915e-14,3.25543573606207e-13,"","OsTPT1",""
"Os01g0242300",46.5838503332839,-1.05729737677901,0.261232648135078,-4.04734011742782,5.18029426408563e-05,0.00016394450246679,"","Os01g0242300",""
"Os01g0248500",44.7045195429509,-3.03596450014766,0.374556560308213,-8.10549012317243,5.25333109376837e-16,4.93410858644044e-15,"","OSJNBa0049B20.20",""
"Os01g0248701",8.02350297915354,-2.35622653291747,0.82932616548288,-2.84113371913878,0.00449534587664567,0.0100843082648845,"","OSJNBa0049B20.22",""
"Os01g0248800",4.41349081931536,-2.97878343076681,1.08250310981701,-2.75175507927211,0.00592768354660419,0.0129446104784468,"","Os01g0248800",""
"Os01g0248850",9.52725101087475,-2.94550446086571,0.717509341127819,-4.10517925276877,4.04001484977678e-05,0.000130168332812639,"","Os01g0248850",""
"Os01g0253400",8.23021287335164,-3.19625527212874,0.980346080595881,-3.26033360605264,0.00111281240188715,0.00283139791348921,"","Os01g0253400",""
"Os01g0254850",3.8940004324624,-5.72309553206153,1.32173917584308,-4.32997344457997,1.49127324171028e-05,5.10208189862683e-05,"","Os01g0254850",""
"Os01g0256300",11.6060357093868,-1.33910740405607,0.538427535413811,-2.48707080522339,0.012879976158255,0.0261155172157644,"","Os01g0256300",""
"Os01g0259300",52.5777750842508,-3.40044891523487,0.440534207067829,-7.71892139288812,1.17318223541483e-14,9.91403009784214e-14,"","Os01g0259300",""
"Os01g0259600",3609.12487774859,-1.17836795494943,0.115606625891399,-10.1929101888709,2.13282130811607e-24,3.26808370755671e-23,"","Os01g0259600",""
